epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,41.8458,0.91012,1.33617,0.92296,0.02231,1,0.89683,0.56654,1.09165,3.32012,0.90963,0.000350625,0.000350625,0.000350625
44,42.7097,1.0201,1.00717,0.91402,0.02231,1,0.89683,0.56654,1.09165,3.32012,0.90963,0.00035289,0.00035289,0.00035289
45,43.5989,0.81968,0.9814,0.92532,0.02263,1,0.91014,0.60708,0.95639,3.28834,0.88592,0.000354872,0.000354872,0.000354872
46,44.4718,0.79728,0.86829,0.90342,0.02263,1,0.91014,0.60708,0.95639,3.28834,0.88592,0.000356571,0.000356571,0.000356571
47,45.3812,0.79753,1.07388,0.8841,0.02268,1,0.82077,0.59897,0.81614,3.25916,0.8662,0.000357987,0.000357987,0.000357987
48,46.2464,0.77702,1.14619,0.85561,0.02268,1,0.82077,0.59897,0.81614,3.25916,0.8662,0.000359121,0.000359121,0.000359121
49,47.1176,0.9918,1.50073,1.03761,0.02285,1,0.76795,0.59529,0.81252,3.23614,0.85815,0.000359971,0.000359971,0.000359971
50,47.9975,0.79579,0.95939,0.89473,0.02285,1,0.76795,0.59529,0.81252,3.23614,0.85815,0.000360538,0.000360538,0.000360538
51,48.8933,0.83861,1.08911,0.94427,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360822,0.000360822,0.000360822
52,49.7813,0.77675,0.92862,0.88552,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360824,0.000360824,0.000360824
53,50.7238,0.71874,0.98573,0.86688,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360542,0.000360542,0.000360542
54,51.6759,0.77694,0.86588,0.88133,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000359978,0.000359978,0.000359978
55,52.6111,0.73352,0.98431,0.89238,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000359131,0.000359131,0.000359131
56,53.4718,0.77447,0.86598,0.89479,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000358,0.000358,0.000358
57,54.4132,0.79838,1.09528,0.91377,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000356587,0.000356587,0.000356587
58,55.3047,0.74259,0.90457,0.87319,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000354891,0.000354891,0.000354891
59,56.579,0.64143,0.8981,0.89309,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000352912,0.000352912,0.000352912
60,57.4848,0.7821,1.07195,0.9768,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000350649,0.000350649,0.000350649
61,58.3774,0.68245,0.91148,0.8414,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000348104,0.000348104,0.000348104
62,59.224,0.8229,0.83,0.90474,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000345276,0.000345276,0.000345276
63,60.1109,0.69875,0.93954,0.87721,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000342165,0.000342165,0.000342165
64,60.9798,0.78053,0.88802,0.8621,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000338772,0.000338772,0.000338772
65,61.8554,0.69047,0.93067,0.89444,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000335095,0.000335095,0.000335095
66,62.7222,0.76763,1.05956,0.92027,0.02322,1,0.983,0.63582,1.14194,3.05262,0.97473,0.000331135,0.000331135,0.000331135
67,63.6602,0.69318,0.90945,0.93968,0.02322,1,0.983,0.63582,1.14194,3.05262,0.97473,0.000326892,0.000326892,0.000326892
68,64.5297,0.66602,1.32072,0.84552,0.02322,1,0.983,0.63582,1.14194,3.05262,0.97473,0.000322367,0.000322367,0.000322367
69,65.4294,0.87014,0.9463,0.90754,0.02301,1,0.97639,0.62087,1.1554,2.96384,0.99279,0.000317558,0.000317558,0.000317558
70,66.2775,0.83016,1.06872,0.88805,0.02301,1,0.97639,0.62087,1.1554,2.96384,0.99279,0.000312467,0.000312467,0.000312467
71,67.0947,0.69683,0.99255,0.86229,0.02301,1,0.97639,0.62087,1.1554,2.96384,0.99279,0.000307092,0.000307092,0.000307092
72,67.9967,0.70911,0.84511,0.89964,0.02293,1,0.97397,0.65918,1.07426,2.86646,0.97454,0.000301435,0.000301435,0.000301435
73,68.8742,0.80303,0.86341,0.86062,0.02293,1,0.97397,0.65918,1.07426,2.86646,0.97454,0.000295494,0.000295494,0.000295494
74,69.7319,0.72554,0.84147,0.91534,0.02293,1,0.97397,0.65918,1.07426,2.86646,0.97454,0.000289271,0.000289271,0.000289271
75,70.6204,0.60414,0.78034,0.8844,0.02289,1,0.97745,0.66477,1.10422,2.79961,0.98089,0.000282765,0.000282765,0.000282765
76,71.5629,0.80386,0.84189,0.89819,0.02289,1,0.97745,0.66477,1.10422,2.79961,0.98089,0.000275976,0.000275976,0.000275976
77,72.4212,0.67146,0.82775,0.84404,0.02289,1,0.97745,0.66477,1.10422,2.79961,0.98089,0.000268904,0.000268904,0.000268904
78,73.3201,0.82234,0.84595,0.93275,0.02247,1,0.98923,0.69275,1.09389,2.73151,0.9749,0.000261548,0.000261548,0.000261548
79,74.199,0.85609,0.88229,0.95682,0.02247,1,0.98923,0.69275,1.09389,2.73151,0.9749,0.00025391,0.00025391,0.00025391
80,75.1302,0.74819,0.80309,0.85239,0.02247,1,0.98923,0.69275,1.09389,2.73151,0.9749,0.000245989,0.000245989,0.000245989
81,76.01,0.56817,0.76915,0.81674,0.02258,1,0.995,0.67382,1.14891,2.66905,1.00645,0.000237786,0.000237786,0.000237786
82,76.982,0.77558,0.81177,0.86765,0.02258,1,0.995,0.67382,1.14891,2.66905,1.00645,0.000229299,0.000229299,0.000229299
83,77.8398,0.62149,0.84091,0.81615,0.02258,1,0.995,0.67382,1.14891,2.66905,1.00645,0.000220529,0.000220529,0.000220529
84,78.7383,0.72798,0.88765,0.92532,0.9362,0.71322,0.995,0.6562,1.23878,2.60666,1.05002,0.000211476,0.000211476,0.000211476
85,79.8522,0.62044,0.81745,0.83357,0.9362,0.71322,0.995,0.6562,1.23878,2.60666,1.05002,0.000202141,0.000202141,0.000202141
86,80.7068,0.74785,0.81746,0.90352,0.9362,0.71322,0.995,0.6562,1.23878,2.60666,1.05002,0.000192522,0.000192522,0.000192522
87,81.5375,0.80039,0.86991,0.88959,0.9362,0.71322,0.995,0.6562,1.23878,2.60666,1.05002,0.00018262,0.00018262,0.00018262
88,82.3847,0.7539,0.86997,0.84749,0.99276,0.61385,0.995,0.64121,1.29943,2.49032,1.07716,0.000172436,0.000172436,0.000172436
89,83.2354,0.66845,0.994,0.87119,0.99276,0.61385,0.995,0.64121,1.29943,2.49032,1.07716,0.000161969,0.000161969,0.000161969
90,84.0845,0.90464,0.76634,0.88421,0.99276,0.61385,0.995,0.64121,1.29943,2.49032,1.07716,0.000151218,0.000151218,0.000151218
91,89.6773,0.66147,0.80271,0.86626,0.99276,0.61385,0.995,0.64121,1.29943,2.49032,1.07716,0.000140185,0.000140185,0.000140185
92,90.5813,0.74181,0.8691,0.90923,0.98702,0.6259,0.995,0.65402,1.29088,2.34788,1.0762,0.000128869,0.000128869,0.000128869
93,91.463,0.61705,0.71766,0.87948,0.98702,0.6259,0.995,0.65402,1.29088,2.34788,1.0762,0.000117269,0.000117269,0.000117269
94,92.3316,0.7172,0.84595,0.87913,0.98702,0.6259,0.995,0.65402,1.29088,2.34788,1.0762,0.000105387,0.000105387,0.000105387
95,93.1992,0.65434,0.72225,0.86099,0.98702,0.6259,0.995,0.65402,1.29088,2.34788,1.0762,9.32222e-05,9.32222e-05,9.32222e-05
96,94.0731,0.56893,0.75268,0.82073,0.97306,0.69918,0.995,0.65554,1.24509,2.2014,1.05601,8.07742e-05,8.07742e-05,8.07742e-05
97,94.9189,0.63348,0.75434,0.88338,0.97306,0.69918,0.995,0.65554,1.24509,2.2014,1.05601,6.80433e-05,6.80433e-05,6.80433e-05
98,96.1681,0.66269,0.77682,0.89266,0.97306,0.69918,0.995,0.65554,1.24509,2.2014,1.05601,5.50294e-05,5.50294e-05,5.50294e-05
99,97.0105,0.69454,0.78196,0.85167,0.97306,0.69918,0.995,0.65554,1.24509,2.2014,1.05601,4.17325e-05,4.17325e-05,4.17325e-05
100,97.8859,0.72785,0.76529,0.86116,0.93857,0.75449,0.995,0.66528,1.22022,2.04796,1.04843,2.81527e-05,2.81527e-05,2.81527e-05
