epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.83828,2.23344,8.46762,1.82543,0,0,0,0,1.30818,8.48886,1.66017,0,0,0
2,2.70623,2.28999,8.44067,1.87057,0,0,0,0,1.26484,8.446,1.63829,1.42617e-05,1.42617e-05,1.42617e-05
3,3.4958,2.03007,8.49828,1.81971,0,0,0,0,1.27357,8.31955,1.63055,2.84668e-05,2.84668e-05,2.84668e-05
4,4.23282,2.46284,8.41898,1.81751,0,0,0,0,1.33312,8.16195,1.61555,4.26154e-05,4.26154e-05,4.26154e-05
5,4.96338,2.11922,8.33365,1.74965,0,0,0,0,1.50257,7.85967,1.59007,5.67073e-05,5.67073e-05,5.67073e-05
6,5.68418,2.08249,8.27816,1.75164,0,0,0,0,1.56666,7.74539,1.56073,7.07426e-05,7.07426e-05,7.07426e-05
7,6.54969,1.99793,8.18687,1.68035,0.00248,0.15294,0.00159,0.00132,1.504,7.74781,1.53918,8.47214e-05,8.47214e-05,8.47214e-05
8,7.3288,1.9059,8.01803,1.72844,0.00248,0.15294,0.00159,0.00121,1.58172,7.74933,1.54135,9.86436e-05,9.86436e-05,9.86436e-05
9,8.03128,2.28548,7.94905,1.71343,0.00248,0.15294,0.00159,0.00121,1.58172,7.74933,1.54135,0.000112509,0.000112509,0.000112509
10,8.78324,1.86804,7.84234,1.71081,0.00248,0.15294,0.0016,0.00105,2.02366,7.73906,1.56951,0.000126318,0.000126318,0.000126318
11,9.51991,2.15186,7.73468,1.71492,0.00248,0.15294,0.0016,0.00105,2.02366,7.73906,1.56951,0.000140071,0.000140071,0.000140071
12,10.2251,2.20001,7.83247,1.70081,0.00248,0.15294,0.0016,0.00105,2.10514,7.73968,1.57159,0.000153766,0.000153766,0.000153766
13,11.0221,2.17319,7.77695,1.65633,0.00248,0.15294,0.0016,0.00105,2.10514,7.73968,1.57159,0.000167406,0.000167406,0.000167406
14,11.7643,2.47354,7.67994,1.71574,0.00414,0.23922,0.00291,0.00225,1.75423,7.78502,1.54949,0.000180988,0.000180988,0.000180988
15,12.8018,1.78399,7.39245,1.68354,0.00414,0.23922,0.00291,0.00225,1.75423,7.78502,1.54949,0.000194514,0.000194514,0.000194514
16,13.5883,2.10514,7.65296,1.70659,0.00414,0.23922,0.00292,0.00245,1.63361,7.75594,1.53427,0.000207984,0.000207984,0.000207984
17,14.302,2.05893,7.15948,1.67557,0.00414,0.23922,0.00292,0.00245,1.63361,7.75594,1.53427,0.000221397,0.000221397,0.000221397
